"FID_","ID_final","Aedes.aegypti","Aedes.albopictus","Aedes.atropalpus","Aedes.dupreei","Aedes.infirmatus","Aedes.sollicitans","Aedes.taeniorhynchus","Aedes.tortilis","Aedes.triseriatus","Aedes.vexans.sensu.lato","Anopheles.albimanus","Anopheles.atropos","Anopheles.barberi","Anopheles.perplexens","Anopheles.punctipennis","Anopheles.quadrimaculatus","Coquillettidia.perturbans","Culex.coronator","Culex.erraticus","Culex.iolambdis","Culex.nigripalpus","Culex.quinquefasciatus","Culex.restuans","Culex.salinarius","Culex.tarsalis","Culex.territans","Culiseta.inornata","Culiseta.melanura","Mansonia.dyari","Mansonia.titillans","Orthopodomyia.alba","Psorophora.ciliata","Psorophora.columbiae","Psorophora.cyanescens","Psorophora.ferox","Psorophora.horrida","Psorophora.howardii","Uranotaenia.lowii","Uranotaenia.sapphirina","Wyeomyia.mitchellii","Wyeomyia.vanduzeei","Anopheles.crucians.complex2","Aedes.atlanticus.tormentor.morphological.group2","Aedes.mathesoni.complex2","Aedes.fulvus2","pland_1","pland_2","pland_13","pland_15","pland_16","year","Long_final","Lat_final"
1,"s60",0.071428571,0.178571429,NA,0,2.035714286,0,3.785714286,0,0.321428571,0,0,0,0,0,0,22.46428571,1.071428571,0.392857143,34.96428571,0,745.6428571,0,0,0,0,0,0,0,7.142857143,13.67857143,0,2.5,321.9642857,0,4,0,0.142857143,2.321428571,0.178571429,0,0,31.14285714,0.5,0,0,0.316455696,0,7.278481013,9.17721519,16.4556962,2016,-82.1165,27.273
3,"s59",0,0,NA,0,0.666666667,0,0,0,0,0,0,0,0,0,0,4.185185185,15.92592593,0.296296296,43.37037037,0,518.2222222,0,0,0,0,0,0,0.296296296,28.85185185,32.77777778,0,0.925925926,194.037037,0,0,0,0,0.333333333,0,0,0,16.88888889,0,0,0,0.641025641,0,3.525641026,6.730769231,32.37179487,2016,-82.23,27.287
5,"s58",0,0.666666667,NA,0,2.904761905,0,1.492063492,0,0.444444444,0.301587302,0,0.253968254,0,0,0,1.507936508,3.26984127,0.158730159,61.57142857,0.412698413,1875.333333,1.174603175,0,0.111111111,0,0,0,0,5.666666667,29.93650794,0,0.111111111,119.2380952,0,5.031746032,0,0,0,0,0,0,8.73015873,0,0,0,0.955414013,12.7388535,14.01273885,12.42038217,14.64968153,2016,-82.2435,27.3471
7,"s57",1.080645161,0.85483871,NA,0,0.887096774,0,0.612903226,0,0,0,0,0,0,0,0,2.161290323,1.032258065,0.5,31.64516129,0,1260.290323,0.338709677,0,0.016129032,0,0,0,0.193548387,0.177419355,2.096774194,0,0.935483871,89.01612903,0,0.967741935,0,0.016129032,0,0,0,0,19.27419355,0.661290323,0,0,0.318471338,1.910828025,5.732484076,5.414012739,14.01273885,2016,-82.158,27.35
10,"s53",0.733333333,0.333333333,NA,0,5.4,0,0.3,0,0,0.066666667,0,0,0,0,0,1.833333333,0.166666667,0.1,6.1,0,314.1,1.033333333,0,0,0,0,0,0,0.166666667,0.833333333,0,0.066666667,3.933333333,0,0.466666667,0,0.2,0.433333333,0.2,1.1,4.933333333,8.033333333,0.566666667,0,0,1.26984127,96.50793651,0,0.317460317,0.317460317,2016,-82.504,27.407
12,"s54",0.212121212,1.96969697,NA,0,2.090909091,0,0.060606061,0,0.03030303,0,0,0,0,0,0,0.727272727,0.242424242,0.242424242,2.636363636,0,338.6666667,0.03030303,0.151515152,0,0,0,0,0,0,0.181818182,0,2.212121212,167.3030303,0.03030303,6,0,0.121212121,0.212121212,0.03030303,0,0,4.090909091,0.757575758,0,0,0,2.572347267,5.466237942,3.215434084,16.72025723,2016,-82.304,27.408
14,"s56",0.1875,0.5625,NA,0,0.9375,0,0,0,0,0,0,0,0,0,0,5.96875,0.28125,1.34375,3.46875,0,256.75,0,0,0.09375,0,0,0,0,0.78125,0.34375,0,1.09375,111.75,0,0,0,0.03125,0.0625,0.03125,0,0,4.03125,0.8125,0,0,0.638977636,1.916932907,7.348242812,8.626198083,15.33546326,2016,-82.2603,27.4081
16,"s55",0,0.025316456,NA,0,0.316455696,0,0,0,0,0.050632911,0,0,0,0,0,2.544303797,0.291139241,0.075949367,5.911392405,0,266.5822785,0.012658228,0,0.012658228,0,0,0,0,1.53164557,1.265822785,0,1.594936709,206.5822785,0,0,0,0,0.050632911,0,0,0,11.2278481,0.037974684,0,0,0,3.174603175,8.888888889,3.174603175,13.65079365,2016,-82.2876,27.4122
18,"s44",0.04,0.2,NA,0,2.52,0,0.12,0,0.16,0,0,0.04,0,0,0,2.32,1.08,0.12,13.6,0,187.84,0,0,0.08,0,0,0,0.08,0.36,3.12,0,0,6.4,0,0.72,0,0,0,0,0,0,15.68,0,0,0,2.848101266,54.74683544,0.949367089,3.797468354,6.962025316,2016,-82.4262,27.4195
20,"s47",0.032258065,0.032258065,NA,0,2.483870968,0,0.709677419,0,0,0,0,0,0,0,0,14.48387097,2.225806452,1.129032258,43.09677419,0,190.8064516,0.516129032,0,0,0,0,0,0,8.838709677,9.129032258,0,0.096774194,7.838709677,0,0.032258065,0,0.096774194,0.032258065,0.129032258,0.064516129,0,38.09677419,0,0,0,5.111821086,89.45686901,0,1.277955272,1.916932907,2016,-82.48,27.42
